	date	pce	unemploy
122	01.08.1977	1288,5	6925
123	01.09.1977	1297,4	6751
124	01.10.1977	1314,3	6763
125	01.11.1977	1330	6815
126	01.12.1977	1339,3	6386
127	01.01.1978	1333	6489
128	01.02.1978	1358,9	6318
129	01.03.1978	1381,4	6337
130	01.04.1978	1400,2	6180
131	01.05.1978	1415,9	6127
132	01.06.1978	1429,8	6028
133	01.07.1978	1430,8	6309
134	01.08.1978	1451	6080
135	01.09.1978	1456,9	6125
136	01.10.1978	1471	5947
137	01.11.1978	1484,7	6077
138	01.12.1978	1500,5	6228
139	01.01.1979	1506,3	6109
140	01.02.1979	1521,6	6173
141	01.03.1979	1535	6109
142	01.04.1979	1542,3	6069
143	01.05.1979	1562,7	5840
144	01.06.1979	1579,6	5959
145	01.07.1979	1590,1	5996
146	01.08.1979	1619,7	6320
147	01.09.1979	1638,1	6190
148	01.10.1979	1646	6296
149	01.11.1979	1661,7	6238
150	01.12.1979	1670,7	6325
151	01.01.1980	1701,6	6683
152	01.02.1980	1705,6	6702
153	01.03.1980	1712,4	6729
154	01.04.1980	1699,5	7358
155	01.05.1980	1704,3	7984
156	01.06.1980	1723	8098
157	01.07.1980	1751,2	8363
158	01.08.1980	1767,7	8281
159	01.09.1980	1784,1	8021
160	01.10.1980	1820,4	8088
161	01.11.1980	1830,2	8023
162	01.12.1980	1855,5	7718
163	01.01.1981	1874,7	8071
164	01.02.1981	1889,4	8051
165	01.03.1981	1908,1	7982
166	01.04.1981	1909,1	7869
167	01.05.1981	1918,2	8174
168	01.06.1981	1938,5	8098
169	01.07.1981	1945,7	7863
170	01.08.1981	1969,8	8036
171	01.09.1981	1968,2	8230
172	01.10.1981	1966,2	8646
173	01.11.1981	1972,4	9029
174	01.12.1981	1989,9	9267
175	01.01.1982	1997,4	9397
176	01.02.1982	2021,4	9705
177	01.03.1982	2024,4	9895
178	01.04.1982	2027,2	10244
179	01.05.1982	2045,9	10335
180	01.06.1982	2050,2	10538
181	01.07.1982	2075,1	10849
182	01.08.1982	2083,7	10881
183	01.09.1982	2108,9	11217
184	01.10.1982	2130,7	11529
185	01.11.1982	2154,7	11938
186	01.12.1982	2167,4	12051
187	01.01.1983	2180,1	11534
188	01.02.1983	2183,1	11545
189	01.03.1983	2208,6	11408
190	01.04.1983	2231,8	11268
191	01.05.1983	2251	11154
192	01.06.1983	2280,8	11246
193	01.07.1983	2309	10548
194	01.08.1983	2324,8	10623
195	01.09.1983	2339,1	10282
196	01.10.1983	2361,8	9887
197	01.11.1983	2370,4	9499
198	01.12.1983	2397,9	9331
199	01.01.1984	2423,8	9008
200	01.02.1984	2408,1	8791
201	01.03.1984	2436,4	8746
202	01.04.1984	2462,6	8762
203	01.05.1984	2479,8	8456
204	01.06.1984	2501,2	8226
205	01.07.1984	2500,5	8537
206	01.08.1984	2518,4	8519
207	01.09.1984	2540,3	8367
208	01.10.1984	2538,2	8381
209	01.11.1984	2578,6	8198
210	01.12.1984	2590	8358
211	01.01.1985	2626,3	8423
212	01.02.1985	2648,6	8321
213	01.03.1985	2656,8	8339
214	01.04.1985	2668,4	8395
215	01.05.1985	2705,9	8302
216	01.06.1985	2699,3	8460
217	01.07.1985	2725,9	8513
218	01.08.1985	2762,7	8196
219	01.09.1985	2805,6	8248
220	01.10.1985	2767,1	8298
221	01.11.1985	2782,7	8128
222	01.12.1985	2822,8	8138
223	01.01.1986	2838,3	7795
224	01.02.1986	2831,2	8402
225	01.03.1986	2834,7	8383
226	01.04.1986	2846,5	8364
227	01.05.1986	2869	8439
228	01.06.1986	2873,5	8508
229	01.07.1986	2893,4	8319
230	01.08.1986	2911,1	8135
231	01.09.1986	2984,6	8310
232	01.10.1986	2945,9	8243
233	01.11.1986	2941,7	8159
234	01.12.1986	3010,8	7883
235	01.01.1987	2949,9	7892
236	01.02.1987	3016,5	7865
237	01.03.1987	3028,4	7862
238	01.04.1987	3054,1	7542
239	01.05.1987	3063,9	7574
240	01.06.1987	3088,4	7398
241	01.07.1987	3110,7	7268
242	01.08.1987	3147	7261
243	01.09.1987	3142,9	7102
244	01.10.1987	3151,1	7227
245	01.11.1987	3160,9	7035
246	01.12.1987	3190,9	6936
247	01.01.1988	3230,7	6953
248	01.02.1988	3238,5	6929
249	01.03.1988	3277,8	6876
250	01.04.1988	3280,4	6601
251	01.05.1988	3311	6779
252	01.06.1988	3335,6	6546
253	01.07.1988	3359,3	6605
254	01.08.1988	3384,3	6843
255	01.09.1988	3391,4	6604
256	01.10.1988	3430,4	6568
257	01.11.1988	3447	6537
258	01.12.1988	3476,3	6518
259	01.01.1989	3499,9	6682
260	01.02.1989	3503,9	6359
261	01.03.1989	3514,5	6205
262	01.04.1989	3558,6	6468
263	01.05.1989	3567,5	6375
264	01.06.1989	3582,4	6577
265	01.07.1989	3601,7	6495
266	01.08.1989	3636,8	6511
267	01.09.1989	3638,1	6590
268	01.10.1989	3650	6630
269	01.11.1989	3659,7	6725
270	01.12.1989	3700,7	6667
271	01.01.1990	3747,2	6752
272	01.02.1990	3744,8	6651
273	01.03.1990	3771,5	6598
274	01.04.1990	3786,7	6797
275	01.05.1990	3792,5	6742
276	01.06.1990	3821,3	6590
277	01.07.1990	3838,5	6922
278	01.08.1990	3865	7188
279	01.09.1990	3886,7	7368
280	01.10.1990	3887,1	7459
281	01.11.1990	3888,4	7764
282	01.12.1990	3877,8	7901
283	01.01.1991	3857,6	8015
284	01.02.1991	3883,3	8265
285	01.03.1991	3929,7	8586
286	01.04.1991	3923,9	8439
287	01.05.1991	3950	8736
288	01.06.1991	3957,1	8692
289	01.07.1991	3982,4	8586
290	01.08.1991	3985,4	8666
291	01.09.1991	4001,2	8722
292	01.10.1991	3992,9	8842
293	01.11.1991	4020,6	8931
294	01.12.1991	4037,7	9198
295	01.01.1992	4101,9	9283
296	01.02.1992	4116,8	9454
297	01.03.1992	4134,3	9460
298	01.04.1992	4149	9415
299	01.05.1992	4176,1	9744
300	01.06.1992	4195	10040
301	01.07.1992	4223	9850
302	01.08.1992	4239,3	9787
303	01.09.1992	4273,9	9781
304	01.10.1992	4303,5	9398
305	01.11.1992	4319,5	9565
306	01.12.1992	4355,6	9557
307	01.01.1993	4359,7	9325
308	01.02.1993	4374,3	9183
309	01.03.1993	4371,4	9056
310	01.04.1993	4412,4	9110
311	01.05.1993	4441,3	9149
312	01.06.1993	4458,8	9121
313	01.07.1993	4487,7	8930
314	01.08.1993	4499,9	8763
315	01.09.1993	4530,5	8714
316	01.10.1993	4552	8750
317	01.11.1993	4573,4	8542
318	01.12.1993	4590,7	8477
319	01.01.1994	4604,8	8630
320	01.02.1994	4652,3	8583
321	01.03.1994	4665,4	8470
322	01.04.1994	4690,7	8331
323	01.05.1994	4689,2	7915
324	01.06.1994	4728,8	7927
325	01.07.1994	4740,8	7946
326	01.08.1994	4783	7933
327	01.09.1994	4795,5	7734
328	01.10.1994	4833,3	7632
329	01.11.1994	4846	7375
330	01.12.1994	4862,3	7230
331	01.01.1995	4871,9	7375
332	01.02.1995	4871,7	7187
333	01.03.1995	4906,5	7153
334	01.04.1995	4911,5	7645
335	01.05.1995	4954,4	7430
336	01.06.1995	4999	7427
337	01.07.1995	4991,8	7527
338	01.08.1995	5027,1	7484
339	01.09.1995	5042,5	7478
340	01.10.1995	5035,9	7328
341	01.11.1995	5077,8	7426
342	01.12.1995	5120,1	7423
343	01.01.1996	5108,9	7491
344	01.02.1996	5156,1	7313
345	01.03.1996	5196,4	7318
346	01.04.1996	5231,6	7415
347	01.05.1996	5247,2	7423
348	01.06.1996	5253,7	7095
349	01.07.1996	5275,8	7337
350	01.08.1996	5299	6882
351	01.09.1996	5320	6979
352	01.10.1996	5351,5	7031
353	01.11.1996	5375	7236
354	01.12.1996	5401,7	7253
355	01.01.1997	5434,9	7158
356	01.02.1997	5457,7	7102
357	01.03.1997	5477,6	7000
358	01.04.1997	5482,8	6873
359	01.05.1997	5484,3	6655
360	01.06.1997	5518,2	6799
361	01.07.1997	5573	6655
362	01.08.1997	5611,8	6608
363	01.09.1997	5625,6	6656
364	01.10.1997	5661,2	6454
365	01.11.1997	5685,2	6308
366	01.12.1997	5716,4	6476
367	01.01.1998	5714,4	6368
368	01.02.1998	5748,4	6306
369	01.03.1998	5775	6422
370	01.04.1998	5812,9	5941
371	01.05.1998	5863,3	6047
372	01.06.1998	5897,2	6212
373	01.07.1998	5915,6	6259
374	01.08.1998	5951	6179
375	01.09.1998	5991,8	6300
376	01.10.1998	6025,8	6280
377	01.11.1998	6042,7	6100
378	01.12.1998	6098,2	6032
379	01.01.1999	6099,1	5976
380	01.02.1999	6128,2	6111
381	01.03.1999	6159,7	5783
382	01.04.1999	6223,6	6004
383	01.05.1999	6253,4	5796
384	01.06.1999	6281,9	5951
385	01.07.1999	6309,5	6025
386	01.08.1999	6354,8	5838
387	01.09.1999	6407,4	5915
388	01.10.1999	6431,2	5778
389	01.11.1999	6467,2	5716
390	01.12.1999	6568,2	5653
391	01.01.2000	6564,7	5708
392	01.02.2000	6648,7	5858
393	01.03.2000	6714,8	5733
394	01.04.2000	6701	5481
395	01.05.2000	6737,2	5758
396	01.06.2000	6773,6	5651
397	01.07.2000	6793,7	5747
398	01.08.2000	6828,7	5853
399	01.09.2000	6913,1	5625
400	01.10.2000	6919,6	5534
401	01.11.2000	6934,5	5639
402	01.12.2000	6979,1	5634
403	01.01.2001	7009,8	6023
404	01.02.2001	7029,3	6089
405	01.03.2001	7022,1	6141
406	01.04.2001	7036,2	6271
407	01.05.2001	7083,1	6226
408	01.06.2001	7097,1	6484
409	01.07.2001	7109,2	6583
410	01.08.2001	7146,1	7042
411	01.09.2001	7054,8	7142
412	01.10.2001	7250,2	7694
413	01.11.2001	7209,6	8003
414	01.12.2001	7190	8258
415	01.01.2002	7217,7	8182
416	01.02.2002	7259,7	8215
417	01.03.2002	7276,7	8304
418	01.04.2002	7345,6	8599
419	01.05.2002	7321,8	8399
420	01.06.2002	7366,1	8393
421	01.07.2002	7424,2	8390
422	01.08.2002	7449	8304
423	01.09.2002	7426,1	8251
424	01.10.2002	7469,3	8307
425	01.11.2002	7499,8	8520
426	01.12.2002	7552,6	8640
427	01.01.2003	7579,5	8520
428	01.02.2003	7573,6	8618
429	01.03.2003	7627,5	8588
430	01.04.2003	7661,7	8842
431	01.05.2003	7669,2	8957
432	01.06.2003	7722,9	9266
433	01.07.2003	7783,8	9011
434	01.08.2003	7878,9	8896
435	01.09.2003	7874	8921
436	01.10.2003	7890,6	8732
437	01.11.2003	7950,4	8576
438	01.12.2003	7974,3	8317
439	01.01.2004	8037,3	8370
440	01.02.2004	8072,1	8167
441	01.03.2004	8121	8491
442	01.04.2004	8141,6	8170
443	01.05.2004	8212,9	8212
444	01.06.2004	8204,6	8286
445	01.07.2004	8270,7	8136
446	01.08.2004	8294,4	7990
447	01.09.2004	8373	7927
448	01.10.2004	8417,9	8061
449	01.11.2004	8458,4	7932
450	01.12.2004	8516,5	7934
451	01.01.2005	8521,2	7784
452	01.02.2005	8575,7	7980
453	01.03.2005	8622,5	7737
454	01.04.2005	8715,9	7672
455	01.05.2005	8680,6	7651
456	01.06.2005	8775,3	7524
457	01.07.2005	8867,9	7406
458	01.08.2005	8872,6	7345
459	01.09.2005	8923,6	7553
460	01.10.2005	8959,6	7453
461	01.11.2005	8987,7	7566
462	01.12.2005	9026,8	7279
463	01.01.2006	9100,1	7064
464	01.02.2006	9134,7	7184
465	01.03.2006	9168,1	7072
466	01.04.2006	9223,3	7120
467	01.05.2006	9254,1	6980
468	01.06.2006	9283,8	7001
469	01.07.2006	9360,4	7175
470	01.08.2006	9368,6	7091
471	01.09.2006	9393,9	6847
472	01.10.2006	9413,3	6727
473	01.11.2006	9431,2	6872
474	01.12.2006	9516,5	6762
475	01.01.2007	9553,1	7116
476	01.02.2007	9590,8	6927
477	01.03.2007	9631,6	6731
478	01.04.2007	9670,6	6850
479	01.05.2007	9708,9	6766
480	01.06.2007	9723,3	6979
481	01.07.2007	9759,6	7149
482	01.08.2007	9800,6	7067
483	01.09.2007	9837,5	7170
484	01.10.2007	9853,9	7237
485	01.11.2007	9928,6	7240
486	01.12.2007	9947,6	7645
487	01.01.2008	9963,2	7685
488	01.02.2008	9955,7	7497
489	01.03.2008	10004,2	7822
490	01.04.2008	10044,6	7637
491	01.05.2008	10093,3	8395
492	01.06.2008	10149,4	8575
493	01.07.2008	10151,1	8937
494	01.08.2008	10140,3	9438
495	01.09.2008	10083,2	9494
496	01.10.2008	9983,3	10074
497	01.11.2008	9851,2	10538
498	01.12.2008	9744,2	11286
499	01.01.2009	9792,1	12058
500	01.02.2009	9775,7	12898
501	01.03.2009	9742,9	13426
502	01.04.2009	9741,9	13853
503	01.05.2009	9759,7	14499
504	01.06.2009	9807,6	14707
505	01.07.2009	9835,2	14601
506	01.08.2009	9961,9	14814
507	01.09.2009	9875,4	15009
508	01.10.2009	9924,6	15352
509	01.11.2009	9946,1	15219
510	01.12.2009	10000,6	15098
511	01.01.2010	10003,4	15046
512	01.02.2010	10034,7	15113
513	01.03.2010	10095,5	15202
514	01.04.2010	10106,9	15325
515	01.05.2010	10140,2	14849
516	01.06.2010	10165,9	14474
517	01.07.2010	10184,3	14512
518	01.08.2010	10247,1	14648
519	01.09.2010	10268,9	14579
520	01.10.2010	10343,7	14516
521	01.11.2010	10399,8	15081
522	01.12.2010	10436,1	14348
523	01.01.2011	10474,7	14046
524	01.02.2011	10512,4	13828
525	01.03.2011	10583,5	13728
526	01.04.2011	10624,6	13956
527	01.05.2011	10653,1	13853
528	01.06.2011	10676,4	13958
529	01.07.2011	10727,1	13756
530	01.08.2011	10745,6	13806
531	01.09.2011	10790,6	13929
532	01.10.2011	10827,6	13599
533	01.11.2011	10828,7	13309
534	01.12.2011	10827,3	13071
535	01.01.2012	10905,5	12812
536	01.02.2012	10979,2	12828
537	01.03.2012	10994,3	12696
538	01.04.2012	11030,2	12636
539	01.05.2012	11029	12668
540	01.06.2012	11032,5	12688
541	01.07.2012	11074,8	12657
542	01.08.2012	11104,8	12449
543	01.09.2012	11179,6	12106
544	01.10.2012	11199,9	12141
545	01.11.2012	11222,8	12026
546	01.12.2012	11245,2	12272
547	01.01.2013	11303,2	12497
548	01.02.2013	11371,4	11967
549	01.03.2013	11378,8	11653
550	01.04.2013	11373,3	11735
551	01.05.2013	11407,1	11671
552	01.06.2013	11462,4	11736
553	01.07.2013	11484,7	11357
554	01.08.2013	11511,6	11241
555	01.09.2013	11559,6	11251
556	01.10.2013	11602,1	11161
557	01.11.2013	11671,5	10814
558	01.12.2013	11686,3	10376
559	01.01.2014	11663,9	10280
560	01.02.2014	11714,4	10387
561	01.03.2014	11807,1	10384
562	01.04.2014	11825,2	9696
563	01.05.2014	11864,3	9761
564	01.06.2014	11922,6	9453
565	01.07.2014	11944,4	9648
566	01.08.2014	12017	9568
567	01.09.2014	12044,6	9237
568	01.10.2014	12096,4	8983
569	01.11.2014	12142,2	9071
570	01.12.2014	12122	8688
571	01.01.2015	12080,8	8979
572	01.02.2015	12095,9	8705
573	01.03.2015	12161,5	8575
574	01.04.2015	12158,9	8549
