Date	SP500	Dividend	Earnings	Consumer Price Index	Real Price	Real Dividend	Real Earnings
1883-04-01	5,87	0,32	0,42	9,9	148,21	8,16	10,6
1883-05-01	5,77	0,32	0,42	9,8	147,1	8,26	10,64
1883-06-01	5,82	0,33	0,41	9,51	152,82	8,53	10,9
1883-07-01	5,73	0,33	0,41	9,32	153,53	8,73	11,05
1883-08-01	5,47	0,33	0,41	9,32	146,56	8,75	10,99
1883-09-01	5,53	0,33	0,41	9,23	149,7	8,87	11,03
1883-10-01	5,38	0,33	0,41	9,23	145,64	8,89	10,96
1883-11-01	5,46	0,33	0,4	9,13	149,34	9	11,01
1883-12-01	5,34	0,33	0,4	9,23	144,56	8,93	10,83
1884-01-01	5,18	0,33	0,39	9,23	140,22	8,89	10,63
1884-02-01	5,32	0,33	0,39	9,23	144,01	8,84	10,42
1884-03-01	5,3	0,33	0,38	9,23	143,47	8,8	10,22
1884-04-01	5,06	0,32	0,37	9,04	139,86	8,94	10,23
1884-05-01	4,65	0,32	0,36	8,85	131,29	9,08	10,24
1884-06-01	4,46	0,32	0,35	8,85	125,93	9,04	10,02
1884-07-01	4,46	0,32	0,35	8,75	127,29	9,08	9,92
1884-08-01	4,74	0,32	0,34	8,75	135,29	9,04	9,7
1884-09-01	4,59	0,32	0,33	8,66	132,45	9,09	9,59
1884-10-01	4,44	0,31	0,33	8,56	129,54	9,14	9,48
1884-11-01	4,35	0,31	0,32	8,37	129,8	9,3	9,47
1884-12-01	4,34	0,31	0,31	8,28	130,99	9,36	9,36
1885-01-01	4,24	0,3	0,31	8,28	127,97	9,18	9,26
1885-02-01	4,37	0,3	0,3	8,37	130,4	8,9	9,05
1885-03-01	4,38	0,29	0,3	8,18	133,73	8,93	9,16
1885-04-01	4,37	0,29	0,3	8,28	131,89	8,65	8,95
1885-05-01	4,32	0,28	0,29	8,09	133,45	8,67	9,06
1885-06-01	4,3	0,28	0,29	7,9	136,04	8,7	9,17
1885-07-01	4,46	0,27	0,29	7,99	139,42	8,42	8,96
1885-08-01	4,71	0,26	0,28	7,99	147,23	8,23	8,86
1885-09-01	4,65	0,26	0,28	7,9	147,11	8,15	8,86
1885-10-01	4,92	0,25	0,28	7,9	155,65	7,96	8,75
1885-11-01	5,24	0,25	0,27	7,99	163,8	7,68	8,54
1885-12-01	5,2	0,24	0,27	8,18	158,77	7,33	8,24
1886-01-01	5,2	0,24	0,28	7,99	162,55	7,45	8,6
1886-02-01	5,3	0,24	0,28	7,99	165,68	7,4	8,75
1886-03-01	5,19	0,23	0,28	7,9	164,19	7,43	9,02
1886-04-01	5,12	0,23	0,29	7,8	163,95	7,47	9,29
1886-05-01	5,02	0,23	0,29	7,61	164,77	7,61	9,68
1886-06-01	5,25	0,23	0,3	7,52	174,5	7,64	9,97
1886-07-01	5,33	0,23	0,3	7,61	174,95	7,49	10,01
1886-08-01	5,37	0,23	0,31	7,71	174,08	7,35	10,05
1886-09-01	5,51	0,23	0,32	7,71	178,62	7,29	10,21
1886-10-01	5,65	0,22	0,32	7,71	183,16	7,24	10,37
1886-11-01	5,79	0,22	0,33	7,71	187,7	7,19	10,54
1886-12-01	5,64	0,22	0,33	7,8	180,61	7,04	10,57
1887-01-01	5,58	0,22	0,33	7,99	174,43	6,96	10,39
1887-02-01	5,54	0,23	0,34	8,09	171,14	6,95	10,35
1887-03-01	5,67	0,23	0,34	8,09	175,16	7,03	10,43
1887-04-01	5,8	0,23	0,34	8,09	179,17	7,11	10,5
1887-05-01	5,9	0,23	0,34	8,09	182,26	7,18	10,58
1887-06-01	5,73	0,23	0,34	7,99	179,12	7,35	10,78
1887-07-01	5,59	0,24	0,35	7,9	176,85	7,51	10,99
1887-08-01	5,45	0,24	0,35	7,99	170,37	7,5	10,94
1887-09-01	5,38	0,24	0,35	7,9	170,2	7,67	11,15
1887-10-01	5,2	0,24	0,35	7,99	162,55	7,66	11,1
1887-11-01	5,3	0,25	0,36	8,09	163,73	7,65	11,04
1887-12-01	5,27	0,25	0,36	8,28	159,06	7,55	10,87
1888-01-01	5,31	0,25	0,35	8,37	158,44	7,41	10,49
1888-02-01	5,28	0,25	0,34	8,28	159,36	7,45	10,36
1888-03-01	5,08	0,24	0,34	8,28	153,32	7,39	10,11
1888-04-01	5,1	0,24	0,33	8,18	155,72	7,43	9,98
1888-05-01	5,17	0,24	0,32	8,09	159,71	7,47	9,83
1888-06-01	5,01	0,24	0,31	7,99	156,61	7,5	9,69
1888-07-01	5,14	0,24	0,3	8,09	158,78	7,36	9,32
1888-08-01	5,25	0,24	0,29	8,09	162,18	7,31	9,06
1888-09-01	5,38	0,23	0,28	8,09	166,2	7,26	8,8
1888-10-01	5,35	0,23	0,28	8,18	163,35	7,12	8,45
1888-11-01	5,24	0,23	0,27	8,28	158,15	6,99	8,1
1888-12-01	5,14	0,23	0,26	8,28	155,13	6,94	7,85
1889-01-01	5,24	0,23	0,26	7,99	163,8	7,16	8,23
1889-02-01	5,3	0,23	0,27	7,9	167,67	7,22	8,44
1889-03-01	5,19	0,23	0,27	7,8	166,2	7,29	8,65
1889-04-01	5,18	0,23	0,27	7,8	165,88	7,26	8,75
1889-05-01	5,32	0,23	0,28	7,61	174,62	7,41	9,08
1889-06-01	5,41	0,23	0,28	7,61	177,57	7,39	9,19
1889-07-01	5,3	0,22	0,28	7,61	173,96	7,36	9,3
1889-08-01	5,37	0,22	0,29	7,61	176,26	7,33	9,41
1889-09-01	5,5	0,22	0,29	7,71	178,3	7,21	9,4
1889-10-01	5,4	0,22	0,29	7,71	175,05	7,19	9,51
1889-11-01	5,35	0,22	0,3	7,71	173,43	7,16	9,62
1889-12-01	5,32	0,22	0,3	7,8	170,36	7,04	9,61
1890-01-01	5,38	0,22	0,3	7,61	176,59	7,22	9,82
1890-02-01	5,32	0,22	0,3	7,61	174,62	7,22	9,79
1890-03-01	5,28	0,22	0,3	7,61	173,3	7,22	9,76
1890-04-01	5,39	0,22	0,3	7,61	176,91	7,22	9,74
1890-05-01	5,62	0,22	0,3	7,71	182,19	7,13	9,59
1890-06-01	5,58	0,22	0,29	7,71	180,89	7,13	9,56
1890-07-01	5,54	0,22	0,29	7,71	179,59	7,13	9,54
1890-08-01	5,41	0,22	0,29	7,99	169,12	6,88	9,17
1890-09-01	5,32	0,22	0,29	8,09	164,35	6,8	9,04
1890-10-01	5,08	0,22	0,29	8,09	156,93	6,8	9,01
1890-11-01	4,71	0,22	0,29	7,9	149,01	6,96	9,2
1890-12-01	4,6	0,22	0,29	7,9	145,53	6,96	9,17
1891-01-01	4,84	0,22	0,29	7,8	154,99	7,04	9,42
1891-02-01	4,9	0,22	0,3	7,9	155,02	6,96	9,44
1891-03-01	4,81	0,22	0,3	7,99	150,36	6,88	9,46
1891-04-01	4,97	0,22	0,31	8,09	153,53	6,8	9,47
1891-05-01	4,95	0,22	0,31	7,99	154,74	6,88	9,72
1891-06-01	4,85	0,22	0,32	7,8	155,31	7,04	10,09
1891-07-01	4,77	0,22	0,32	7,71	154,63	7,13	10,35
1891-08-01	4,93	0,22	0,32	7,71	159,82	7,13	10,48
1891-09-01	5,33	0,22	0,33	7,61	174,95	7,22	10,75
1891-10-01	5,33	0,22	0,33	7,61	174,95	7,22	10,89
1891-11-01	5,25	0,22	0,34	7,52	174,5	7,31	11,16
1891-12-01	5,41	0,22	0,34	7,52	179,82	7,31	11,3
1892-01-01	5,51	0,22	0,34	7,33	187,9	7,56	11,68
1892-02-01	5,52	0,22	0,34	7,33	188,24	7,61	11,77
1892-03-01	5,58	0,23	0,35	7,14	195,36	7,88	12,17
1892-04-01	5,57	0,23	0,35	7,04	197,65	8,04	12,42
1892-05-01	5,57	0,23	0,35	7,04	197,65	8,1	12,51
1892-06-01	5,54	0,23	0,35	7,04	196,58	8,16	12,6
1892-07-01	5,54	0,23	0,36	7,23	191,41	8,01	12,35
1892-08-01	5,62	0,23	0,36	7,33	191,65	7,96	12,28
1892-09-01	5,48	0,23	0,36	7,33	186,88	8,01	12,36
1892-10-01	5,59	0,24	0,36	7,33	190,63	8,07	12,45
1892-11-01	5,57	0,24	0,37	7,52	185,14	7,92	12,22
1892-12-01	5,51	0,24	0,37	7,61	180,85	7,88	12,14
1893-01-01	5,61	0,24	0,36	7,9	177,48	7,62	11,41
1893-02-01	5,51	0,24	0,35	7,99	172,24	7,56	10,99
1893-03-01	5,31	0,24	0,34	7,8	170,04	7,77	10,97
1893-04-01	5,31	0,24	0,33	7,71	172,14	7,89	10,8
1893-05-01	4,84	0,24	0,32	7,61	158,86	8,02	10,64
1893-06-01	4,61	0,24	0,32	7,42	155,19	8,25	10,6
1893-07-01	4,18	0,25	0,31	7,23	144,42	8,49	10,57
1893-08-01	4,08	0,25	0,3	6,95	146,76	8,87	10,67
1893-09-01	4,37	0,25	0,29	7,23	150,98	8,55	9,93
1893-10-01	4,5	0,25	0,28	7,33	153,46	8,47	9,49
1893-11-01	4,57	0,25	0,27	7,14	160	8,72	9,42
1893-12-01	4,41	0,25	0,26	7,04	156,48	8,87	9,23
1894-01-01	4,32	0,25	0,25	6,85	157,55	9	9,18
1894-02-01	4,38	0,24	0,24	6,76	161,99	9	9
1894-03-01	4,51	0,24	0,23	6,57	171,63	9,13	8,94
1894-04-01	4,57	0,24	0,23	6,57	173,91	9,01	8,63
1894-05-01	4,4	0,23	0,22	6,57	167,44	8,88	8,31
1894-06-01	4,34	0,23	0,21	6,57	165,16	8,75	7,99
1894-07-01	4,25	0,23	0,2	6,57	161,74	8,63	7,68
1894-08-01	4,41	0,22	0,19	6,76	163,1	8,26	7,15
1894-09-01	4,48	0,22	0,18	6,85	163,38	8,02	6,75
1894-10-01	4,34	0,22	0,18	6,66	162,8	8,13	6,63
1894-11-01	4,34	0,21	0,17	6,66	162,8	8	6,31
1894-12-01	4,3	0,21	0,16	6,57	163,64	7,99	6,09
1895-01-01	4,25	0,21	0,17	6,57	161,74	7,93	6,37
1895-02-01	4,19	0,21	0,17	6,57	159,45	7,87	6,66
1895-03-01	4,19	0,2	0,18	6,57	159,45	7,8	6,95
1895-04-01	4,37	0,2	0,19	6,85	159,37	7,41	6,93
1895-05-01	4,61	0,2	0,2	6,95	165,82	7,26	7,1
1895-06-01	4,7	0,2	0,2	7,04	166,78	7,1	7,27
1895-07-01	4,72	0,2	0,21	6,95	169,78	7,13	7,64
1895-08-01	4,79	0,2	0,22	6,85	174,69	7,17	8,02
1895-09-01	4,82	0,2	0,23	6,85	175,78	7,11	8,3
1895-10-01	4,75	0,19	0,23	6,85	173,23	7,05	8,57
1895-11-01	4,59	0,19	0,24	6,85	167,4	6,99	8,84
1895-12-01	4,32	0,19	0,25	6,76	159,77	7,03	9,25
1896-01-01	4,27	0,19	0,25	6,66	160,18	7,1	9,25
1896-02-01	4,45	0,19	0,24	6,57	169,35	7,17	9,26
1896-03-01	4,38	0,19	0,24	6,57	166,68	7,14	9,13
1896-04-01	4,42	0,19	0,24	6,47	170,68	7,21	9,14
1896-05-01	4,4	0,19	0,23	6,37	172,44	7,28	9,14
1896-06-01	4,32	0,18	0,23	6,28	171,87	7,36	9,15
1896-07-01	4,04	0,18	0,23	6,28	160,73	7,33	9,02
1896-08-01	3,81	0,18	0,22	6,28	151,58	7,29	8,88
1896-09-01	4,01	0,18	0,22	6,28	159,54	7,26	8,75
1896-10-01	4,1	0,18	0,22	6,47	158,32	7,02	8,37
1896-11-01	4,38	0,18	0,21	6,66	164,3	6,78	8
1896-12-01	4,22	0,18	0,21	6,66	158,3	6,75	7,88
1897-01-01	4,22	0,18	0,22	6,47	162,96	6,95	8,43
1897-02-01	4,18	0,18	0,23	6,47	161,41	6,95	8,75
1897-03-01	4,19	0,18	0,23	6,47	161,8	6,95	9,07
1897-04-01	4,06	0,18	0,24	6,37	159,12	7,05	9,54
1897-05-01	4,08	0,18	0,25	6,28	162,32	7,16	10,01
1897-06-01	4,27	0,18	0,26	6,28	169,88	7,16	10,34
1897-07-01	4,46	0,18	0,27	6,28	177,44	7,16	10,67
1897-08-01	4,75	0,18	0,28	6,57	180,76	6,85	10,53
1897-09-01	4,98	0,18	0,28	6,76	184,18	6,66	10,54
1897-10-01	4,82	0,18	0,29	6,66	180,81	6,75	11
1897-11-01	4,65	0,18	0,3	6,66	174,43	6,75	11,32
1897-12-01	4,75	0,18	0,31	6,66	178,18	6,75	11,63
1898-01-01	4,88	0,18	0,31	6,66	183,06	6,82	11,75
1898-02-01	4,87	0,18	0,32	6,76	180,11	6,78	11,71
1898-03-01	4,65	0,18	0,32	6,76	171,97	6,84	11,83
1898-04-01	4,57	0,19	0,32	6,76	169,01	6,9	11,96
1898-05-01	4,87	0,19	0,33	7,23	168,26	6,51	11,29
1898-06-01	5,06	0,19	0,33	6,76	187,14	7,03	12,2
1898-07-01	5,08	0,19	0,33	6,66	190,56	7,19	12,5
1898-08-01	5,27	0,19	0,34	6,66	197,69	7,25	12,63
1898-09-01	5,26	0,2	0,34	6,66	197,31	7,31	12,75
1898-10-01	5,15	0,2	0,34	6,66	193,19	7,38	12,88
1898-11-01	5,32	0,2	0,35	6,66	199,56	7,44	13,01
1898-12-01	5,65	0,2	0,35	6,76	208,96	7,4	12,94
1899-01-01	6,08	0,2	0,36	6,76	224,86	7,43	13,34
1899-02-01	6,31	0,2	0,37	6,95	226,97	7,26	13,37
1899-03-01	6,4	0,2	0,38	6,95	230,21	7,28	13,76
1899-04-01	6,48	0,2	0,39	7,04	229,94	7,21	13,96
1899-05-01	6,21	0,2	0,4	7,04	220,36	7,25	14,34
1899-06-01	6,07	0,2	0,41	7,14	212,52	7,18	14,53
1899-07-01	6,28	0,21	0,43	7,23	216,98	7,11	14,71
1899-08-01	6,44	0,21	0,44	7,33	219,61	7,05	14,89
1899-09-01	6,37	0,21	0,45	7,61	209,08	6,81	14,69
1899-10-01	6,34	0,21	0,46	7,71	205,53	6,75	14,86
1899-11-01	6,46	0,21	0,47	7,8	206,86	6,7	15,02
1899-12-01	6,02	0,21	0,48	7,9	190,45	6,64	15,19
01.01.1900	6,1	0,22	0,48	7,9	192,98	6,88	15,19
01.02.1900	6,21	0,23	0,48	7,99	194,12	7,03	15
01.03.1900	6,26	0,23	0,48	7,99	195,69	7,27	15
01.04.1900	6,34	0,24	0,48	7,99	198,19	7,5	15
01.05.1900	6,04	0,25	0,48	7,8	193,41	7,93	15,37
01.06.1900	5,86	0,26	0,48	7,71	189,97	8,27	15,56
01.07.1900	5,86	0,26	0,48	7,8	187,65	8,41	15,37
01.08.1900	5,94	0,27	0,48	7,71	192,56	8,75	15,56
01.09.1900	5,8	0,28	0,48	7,8	185,73	8,89	15,37
01.10.1900	6,01	0,28	0,48	7,71	194,83	9,24	15,56
01.11.1900	6,48	0,29	0,48	7,71	210,07	9,48	15,56
01.12.1900	6,87	0,3	0,48	7,61	225,49	9,85	15,75
01.01.1901	7,07	0,3	0,48	7,71	229,19	9,78	15,62
01.02.1901	7,25	0,3	0,48	7,61	237,97	9,96	15,86
01.03.1901	7,51	0,3	0,48	7,61	246,5	10,01	15,92
01.04.1901	8,14	0,31	0,49	7,52	270,56	10,19	16,18
01.05.1901	7,73	0,31	0,49	7,52	256,93	10,25	16,23
01.06.1901	8,5	0,31	0,49	7,52	282,53	10,3	16,29
01.07.1901	7,93	0,31	0,49	7,61	260,28	10,23	16,14
01.08.1901	8,04	0,31	0,49	7,71	260,64	10,16	15,99
01.09.1901	8	0,32	0,49	7,8	256,18	10,09	15,85
01.10.1901	7,91	0,32	0,5	7,8	253,3	10,14	15,91
01.11.1901	8,08	0,32	0,5	7,9	255,62	10,07	15,76
01.12.1901	7,95	0,32	0,5	7,99	248,52	10	15,63
01.01.1902	8,12	0,32	0,51	7,9	256,89	10,15	16,16
01.02.1902	8,19	0,32	0,52	7,9	259,1	10,18	16,5
01.03.1902	8,2	0,32	0,53	7,9	259,42	10,2	16,85
01.04.1902	8,48	0,32	0,54	7,99	265,08	10,11	16,98
01.05.1902	8,46	0,32	0,55	8,09	261,35	10,02	17,12
01.06.1902	8,41	0,33	0,56	8,18	256,78	9,92	17,25
01.07.1902	8,6	0,33	0,58	8,18	262,58	9,95	17,58
01.08.1902	8,83	0,33	0,59	8,09	272,78	10,09	18,12
01.09.1902	8,85	0,33	0,6	8,18	270,22	10	18,24
01.10.1902	8,57	0,33	0,61	8,75	244,6	9,37	17,36
01.11.1902	8,24	0,33	0,62	8,47	243,11	9,71	18,27
01.12.1902	8,05	0,33	0,63	8,56	234,87	9,63	18,38
01.01.1903	8,46	0,33	0,62	8,66	244,11	9,57	17,94
01.02.1903	8,41	0,33	0,61	8,66	242,67	9,62	17,7
01.03.1903	8,08	0,34	0,6	8,37	241,1	10	18,05
01.04.1903	7,75	0,34	0,6	8,37	231,25	10,05	17,8
01.05.1903	7,6	0,34	0,59	8,18	232,05	10,33	17,96
01.06.1903	7,18	0,34	0,58	8,18	219,23	10,38	17,71
01.07.1903	6,85	0,34	0,57	8,18	209,15	10,43	17,46
01.08.1903	6,63	0,34	0,56	8,18	202,43	10,48	17,2
01.09.1903	6,47	0,34	0,56	8,28	195,28	10,41	16,75
01.10.1903	6,26	0,35	0,55	8,18	191,14	10,59	16,69
01.11.1903	6,28	0,35	0,54	8,09	194	10,76	16,63
01.12.1903	6,57	0,35	0,53	8,09	202,96	10,81	16,37
01.01.1904	6,68	0,35	0,53	8,28	201,61	10,46	15,9
01.02.1904	6,5	0,34	0,52	8,47	191,77	10,13	15,44
